112.49.219.14	中国	福建	福州		移动	AS9808		chinamobile.com
183.241.94.112	中国	北京	北京		移动	AS56048		chinamobile.com
120.231.118.124	中国	广东	中山		移动	AS9808		chinamobile.com
218.28.18.106	中国	河南	郑州		联通	AS4837		chinaunicom.com
119.132.17.99	中国	广东	珠海		电信	AS136198		chinatelecom.com.cn
103.149.244.32	中国	河北	石家庄	fangneng.tech	电信	AS134760	fangneng.tech	
59.60.0.133	中国	福建	福州		电信	AS4809		chinatelecom.com.cn
14.21.159.176	中国	广东	广州		电信	AS134773		chinatelecom.com.cn
36.157.159.96	中国	湖南	株洲		移动	AS56047		chinamobile.com
114.249.133.198	中国	北京	北京		联通	AS4808		chinaunicom.com
115.223.155.19	中国	浙江	温州		电信	AS4134		chinatelecom.com.cn
180.111.65.44	中国	江苏	南京		电信	AS4134		chinatelecom.com.cn
180.110.142.201	中国	江苏	南京		电信	AS4134		chinatelecom.com.cn
120.219.4.74	中国	河南	信阳		移动	AS24445		chinamobile.com
223.160.201.7	中国	云南			移动	AS9808		chinabtn.com
39.144.0.62	中国	山东	菏泽		移动	AS24444		chinamobile.com
221.220.97.243	中国	北京	北京		联通	AS4808		chinaunicom.com
123.121.2.58	中国	北京	北京		联通	AS4808		chinaunicom.com
117.139.250.247	中国	四川	成都		移动	AS9808		chinamobile.com
222.139.31.227	中国	河南	安阳		联通	AS4837		chinaunicom.com
222.139.31.235	中国	河南	安阳		联通	AS4837		chinaunicom.com
39.128.153.10	中国	云南	文山壮族苗族自治州		移动	AS9808		chinamobile.com
221.182.215.242	中国	海南	东方		移动	AS9808		chinamobile.com
183.42.226.228	中国	广东			电信	AS4134		chinatelecom.com.cn
101.228.113.33	中国	上海	上海		电信	AS4812		chinatelecom.com.cn
223.99.170.130	中国	山东	济南		移动	AS24444		chinamobile.com
221.6.172.1	中国	江苏	常州		联通	AS4837		chinaunicom.com
36.154.131.250	中国	江苏	徐州		移动	AS56046		chinamobile.com
106.113.168.60	中国	河北	石家庄		电信	AS4134		chinatelecom.com.cn
58.48.109.210	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
222.139.31.131	中国	河南	安阳		联通	AS4837		chinaunicom.com
117.28.225.155	中国	福建	福州		电信	AS4809		chinatelecom.com.cn
112.97.81.93	中国	广东	深圳		联通	AS17623		chinaunicom.com
36.40.170.125	中国	陕西			电信	AS4134		chinatelecom.com.cn
111.25.192.82	中国	吉林	松原		移动	AS134810		chinamobile.com
223.99.170.132	中国	山东	济南		移动	AS24444		chinamobile.com
111.42.120.247	中国	黑龙江	哈尔滨		移动	AS132525		chinamobile.com
210.13.194.197	中国	福建	福州		联通	AS9929		chinaunicom.com
58.49.24.17	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
58.48.109.211	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
183.230.196.129	中国	重庆	重庆		移动	AS9808		chinamobile.com
180.108.113.47	中国	江苏	苏州		电信	AS140292		chinatelecom.com.cn
39.144.154.233	中国	江苏	常州		移动	AS56046		chinamobile.com
222.139.31.203	中国	河南	安阳		联通	AS4837		chinaunicom.com
222.139.31.187	中国	河南	安阳		联通	AS4837		chinaunicom.com
222.139.31.195	中国	河南	安阳		联通	AS4837		chinaunicom.com
36.101.102.119	中国	海南	文昌		电信	AS151058		chinatelecom.com.cn
223.104.69.85	中国	广东	佛山		移动	AS56040		chinamobile.com
223.96.203.53	中国	山东	枣庄		移动	AS24444		chinamobile.com
113.84.5.105	中国	广东	深圳		电信	AS134774		chinatelecom.com.cn
124.128.39.234	中国	山东	济南		联通	AS4837		chinaunicom.com
124.128.39.226	中国	山东	济南		联通	AS4837		chinaunicom.com
111.42.120.243	中国	黑龙江	哈尔滨		移动	AS132525		chinamobile.com
111.15.165.54	中国	山东	青岛		移动	AS24444		chinamobile.com
58.48.109.214	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
58.48.109.213	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
58.48.109.212	中国	湖北	武汉		电信	AS4134		chinatelecom.com.cn
223.104.249.52	中国	重庆	重庆		移动	AS9808		chinamobile.com
39.144.169.172	中国	江西	赣州		移动	AS9808		chinamobile.com
218.75.123.42	中国	浙江	杭州		电信	AS4134		chinatelecom.com.cn
114.254.2.33	中国	北京	北京		联通	AS4808		chinaunicom.com
115.206.101.180	中国	浙江	杭州		电信	AS4134		chinatelecom.com.cn
121.225.209.163	中国	江苏	南京		电信	AS4134		chinatelecom.com.cn
36.143.64.126	中国	河北	石家庄		移动	AS24547		chinamobile.com
117.28.225.146	中国	福建	福州		电信	AS4809		chinatelecom.com.cn
39.144.249.125	中国	福建	漳州		移动	AS9808		chinamobile.com
220.162.29.56	中国	福建	泉州		电信	AS4134		chinatelecom.com.cn
222.139.31.171	中国	河南	安阳		联通	AS4837		chinaunicom.com
61.160.106.230	中国	江苏	无锡		电信	AS4134		chinatelecom.com.cn
113.83.139.251	中国	广东	惠州		电信	AS140317		chinatelecom.com.cn
59.60.0.140	中国	福建	福州		电信	AS4809		chinatelecom.com.cn
112.51.146.213	中国	福建	南平		移动	AS9808		chinamobile.com
101.68.5.39	中国	浙江	杭州		联通	AS4837		chinaunicom.com
27.205.246.113	中国	山东	潍坊		联通	AS4837		chinaunicom.com
112.92.68.220	中国	广东	珠海		联通	AS17816		chinaunicom.com
